case_id,question_en,question_nl,context,reference_answer_en,reference_answer_nl,expected_answer_points,should_not_include,source_basis
EXISTING_001,Why is my electricity use suddenly higher at night than before?,Waarom is mijn elektriciteitsverbruik 's nachts plotseling hoger dan voorheen?,Electricity use between 00:00–05:00 has been above this home's normal baseline for the past 7 days.,"Your night-time use is higher than your own earlier pattern for this home. This often points to something running overnight that wasn't before — a boiler, a charging device, or an appliance no longer going to standby. The system can't identify the exact cause from data alone, so a useful first step is to think about whether anything changed at home around the time the higher readings started.","Uw nachtelijk verbruik is hoger dan uw eigen eerdere patroon voor deze woning. Dit wijst er vaak op dat er iets 's nachts actief is wat eerder niet was — een boiler, een laadapparaat of een apparaat dat niet meer naar stand-by gaat. Het systeem kan de exacte oorzaak niet vaststellen op basis van data alleen, dus een nuttige eerste stap is na te gaan of er rond het moment van de hogere metingen iets is veranderd thuis.",mentions comparison with home's earlier night baseline; explains possible always-on or changed appliance; states data cannot identify exact device; suggests checking changes around start date,certain diagnosis of one appliance; alarmist wording; repair instructions; exact cost guarantee,existing QA example
EXISTING_002,Why is my electricity usage higher this month than last month?,Waarom is mijn elektriciteitsverbruik deze maand hoger dan vorige maand?,Monthly total has increased compared to the previous month,"This month you used [X] kWh, compared to [Y] kWh last month. Looking at your usage pattern, most of the extra consumption is happening in the [morning/afternoon/evening]. This could be due to colder weather, more people at home, or simply using certain appliances more often. Do you know what you are typically doing at that time?","Deze maand heeft u [X] kWh verbruikt, vergeleken met [Y] kWh vorige maand. Als we naar uw verbruikspatroon kijken, is het grootste deel van het extra verbruik te zien in de [ochtend/middag/avond]. Dit kan komen door kouder weer, meer mensen thuis, of het vaker gebruiken van bepaalde apparaten. Weet u wat u op dat moment meestal doet?",mentions current month vs previous month; suggests looking for days or time blocks causing increase; explains possible routine or weather influence; suggests checking graph by day,definitive billing conclusion; blaming resident; exact cost guarantee; unsupported causal claim,existing QA example
EXISTING_003,Why does my energy pattern look different in winter than in summer?,Waarom ziet mijn energiepatroon er in de winter anders uit dan in de zomer?,User notices a visible difference in their energy data between warm and cold months.,"Seasonal differences are normal and expected. In winter, heating runs more often and solar production is lower due to shorter days; in summer the reverse is typical. Comparing the same month across different years gives a more useful picture than comparing winter directly to summer.",Seizoensverschillen zijn normaal en te verwachten. In de winter draait de verwarming vaker en is de zonproductie lager door kortere dagen; in de zomer is het omgekeerde typisch. Het vergelijken van dezelfde maand over verschillende jaren geeft een nuttiger beeld dan winter direct met zomer vergelijken.,explains seasonal differences; mentions heating and hot water in winter; mentions solar/daylight difference if relevant; normalizes pattern without ignoring anomalies,claiming all winter increases are normal; legal/billing advice; medical advice; exact device diagnosis,existing QA example
EXISTING_004,Why does my heat pump use energy even when I have not turned on the heating?,Waarom verbruikt mijn warmtepomp energie ook als ik de verwarming niet heb aangezet?,Heat pump shows consumption during periods when the user believes heating is inactive.,Heat pumps work differently from traditional boilers — they run continuously at low power to maintain a steady indoor temperature rather than switching on and off on demand. They may also run occasional defrost cycles on cold days. This background activity is normal and is actually how the system operates most efficiently; running it at a steady setting uses less energy overall than switching it off and reheating from cold.,Warmtepompen werken anders dan traditionele cv-ketels — ze draaien continu op laag vermogen om een stabiele binnentemperatuur te handhaven in plaats van aan en uit te schakelen op aanvraag. Ze voeren ook af en toe ontdooicycli uit op koude dagen. Deze achtergrondactiviteit is normaal en is eigenlijk hoe het systeem het meest efficiënt werkt; op een constante instelling draaien verbruikt totaal minder energie dan hem uitschakelen en de woning vanuit de kou opnieuw opwarmen.,explains heat pumps can run continuously at low power; contrasts with traditional boilers; links use to hot water or temperature maintenance; suggests checking whether pattern is steady or rising,telling user to repair heat pump; certainty that nothing is wrong; installer-level settings; unsafe technical steps,existing QA example
EXISTING_005,Why does my balanced ventilation system seem to run all the time?,Waarom lijkt mijn gebalanceerde ventilatiesysteem de hele tijd te draaien?,User notices ventilation running continuously and wonders if this is normal.,"Balanced ventilation is designed to run continuously — this is intentional. It simultaneously brings in fresh air and extracts stale air, recovering heat from the outgoing air to keep your home efficient. Turning it off or opening windows disrupts this balance and can reduce energy savings, so continuous operation is correct behaviour.","Gebalanceerde ventilatie is ontworpen om continu te draaien — dit is opzettelijk. Het brengt tegelijkertijd verse lucht naar binnen en voert verbruikte lucht naar buiten, waarbij warmte wordt teruggewonnen om uw woning efficiënt te houden. Het uitschakelen of ramen openen verstoort dit evenwicht en kan energiebesparing verminderen, dus continu gebruik is correct gedrag.",explains balanced ventilation is designed to run continuously; links ventilation to air quality and moisture; mentions low steady electricity use can be normal; suggests checking for unusual spikes,advising user to switch off ventilation; medical claims; repair instructions; certainty without data,existing QA example
EXISTING_006,What does it mean for my energy bill if my consumption is above the EPV bundle?,Wat betekent het voor mijn energierekening als mijn verbruik boven de EPV-bundel ligt?,Household consumption has exceeded the EPV bundle threshold this month.,"The EPV bundle sets the maximum household energy use expected under your agreement. Consistently exceeding it over multiple months can affect the EPV contribution your housing provider receives, which may result in a financial correction for you. The most practical ways to stay within the bundle are running high-energy appliances during solar production hours and keeping the heating at a steady moderate temperature.","De EPV-bundel stelt het maximale huishoudelijk energieverbruik in dat verwacht wordt onder uw overeenkomst. Het consistent overschrijden ervan over meerdere maanden kan de EPV-bijdrage beïnvloeden die uw woningaanbieder ontvangt, wat kan resulteren in een financiële correctie voor u. De meest praktische manieren om binnen de bundel te blijven zijn het draaien van energieverslindende apparaten tijdens de zonne-uren en de verwarming op een stabiele, gematigde temperatuur houden.",explains EPV bundle as expected energy-use boundary; mentions app data can show quantity not final bill; redirects contract/billing interpretation to housing provider or agreement; avoids definitive costs,legal advice; compensation decision; exact bill prediction; guarantee about EPV outcome,existing QA example
EXISTING_007,Why is my energy bill higher than I expected given what the app shows?,Waarom is mijn energierekening hoger dan ik verwachtte op basis van wat de app laat zien?,User sees a gap between app data and actual costs on their invoice.,"The app shows energy quantities — kilowatt-hours and solar production — but your bill also includes network costs, fixed supply fees, and taxes that are not visible in the monitoring data. For a precise cost breakdown, your energy bill or supplier's statement is the right source. If the gap seems larger than expected, it's worth checking whether your tariff has changed recently.","De app toont energiehoeveelheden — kilowattuur en zonproductie — maar uw rekening bevat ook netwerkkosten, vaste leveringskosten en belastingen die niet zichtbaar zijn in de monitoringgegevens. Voor een nauwkeurige kostenverdeling is uw energierekening of de specificatie van uw leverancier de juiste bron. Als het verschil groter lijkt dan verwacht, is het de moeite waard om te controleren of uw tarief recentelijk is gewijzigd.",distinguishes energy quantities from invoice costs; mentions tariffs/taxes/fixed charges/supplier corrections; explains app can help compare kWh; redirects final bill questions to supplier,definitive billing advice; accusations of billing error; exact tariff advice; legal advice,existing QA example
EXISTING_008,Is my energy use normal compared to similar homes?,Is mijn energieverbruik normaal vergeleken met vergelijkbare woningen?,User wants to know whether their consumption is in line with what is typical.,"Your home used [X] kWh this month, compared to an average of [Y] kWh for similar homes in your area. Keep in mind this is a broad reference — households differ in occupancy and daily routines, which affect usage significantly. If the gap is large and consistent, it can be a useful prompt to look at which systems are running most and whether any small adjustments might help.","Uw woning heeft deze maand [X] kWh verbruikt, vergeleken met gemiddeld [Y] kWh voor vergelijkbare woningen in uw omgeving. Houd er rekening mee dat dit een brede referentie is — huishoudens verschillen in bezetting en dagelijkse routines, die het verbruik aanzienlijk beïnvloeden. Als het verschil groot en consistent is, kan het een nuttige aanleiding zijn om te kijken welke systemen het meest draaien en of kleine aanpassingen kunnen helpen","mentions comparison with similar homes if available; explains differences can come from household size, routines, orientation or weather; states comparison is indicative; suggests checking main time periods",ranking or shaming resident; exact normality claim without context; personal assumptions; privacy-invasive comparison,existing QA example
EXISTING_009,Why are my solar panels producing less than similar homes nearby?,Waarom produceren mijn zonnepanelen minder dan vergelijkbare woningen in de buurt?,Benchmarking shows this home's solar production is below the reference group under similar weather.,"Your panels produced [X] kWh this month, compared to an average of [Y] kWh for similar homes nearby under the same weather conditions. When comparable homes are producing more, the difference is likely home-specific rather than weather-related. Common causes are panel orientation, partial shading from a nearby tree or structure, or accumulated dust on the panels.","Uw panelen hebben deze maand [X] kWh geproduceerd, vergeleken met gemiddeld [Y] kWh voor vergelijkbare woningen in de buurt onder dezelfde weersomstandigheden. Als vergelijkbare woningen meer produceren, is het verschil waarschijnlijk woningspecifiek in plaats van weergerelateerd. Veel voorkomende oorzaken zijn paneeloriëntatie, gedeeltelijke beschaduwing door een nabijgelegen boom of structuur, of opgehoopt stof op de panelen","mentions lower production versus reference group; lists weather, shading, orientation or data gaps as possible factors; suggests checking sunny-day pattern; avoids diagnosing panel fault",claiming panels are broken; repair instructions; compensation advice; exact yield guarantee,existing QA example
EXISTING_010,Why is the system showing consumption even when I am not actively using appliances?,Waarom toont het systeem verbruik terwijl ik geen apparaten actief gebruik?,User observes a persistent baseline consumption even when the household appears inactive.,Every home has a baseline consumption from devices that are always on — like the fridge or television. This is normal. A simple way to reduce this is to switch devices off at the plug rather than leaving them on standby.,Elke woning heeft een basisverbruik van apparaten die altijd aan zijn — zoals de koelkast of televisie. Dit is normaal. Een eenvoudige manier om dit te verminderen is apparaten uit te schakelen aan het stopcontact in plaats van ze op stand-by te laten staan.,explains base load/standby use; gives simple examples of always-on devices; suggests checking night-time baseline; avoids identifying exact device from aggregate data,certain device identification; invasive behaviour tracking; unsafe unplugging instructions; blame,existing QA example
