item_id,base_case_id,dataset,source_basis,approach,true_language,language,detected_language,language_detection_method,language_detection_correct,question,context,reference_answer,expected_answer_points,should_not_include,generated_answer,latency_seconds,pipeline_model_id,answer_model_id,routing_model_id,top_k,max_new_tokens,generation_timestamp,error_message,detected_scope,scope_detection_method,cached_detected_scope,retrieved_item_ids,retrieval_similarity_scores
EXISTING_014_EN,EXISTING_014,in_scope,existing QA example,closed_book,en,en,en,lingua,True,The net-metering scheme is being phased out. How will this affect me?,User has heard about changes to the Dutch net-metering scheme and asks for guidance.,"The Dutch net-metering scheme is set to stop from 1 January 2027, so exported solar electricity will no longer be offset against imported electricity in the same way. Your monitoring data can still help you see how much solar energy you use directly versus feed back to the grid. For contract-specific effects, tariffs, or exact bill changes, please check your energy supplier or official information.",explains saldering change at a high level; links effect to timing of self-consumption and export; says app can show production/use timing; redirects contract-specific impact to supplier/official information,financial advice; exact future bill prediction; legal advice; unsupported policy details,"I can only help with questions about household energy monitoring, energy use, solar production, heat pumps, ventilation, and related anomalies. Please ask a question about your energy data or system readings.",0.0769020160000764,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 11:32:19,,out_of_scope,cached_qwen7b_router,out_of_scope,,
EXISTING_014_NL,EXISTING_014,in_scope,existing QA example,closed_book,nl,nl,nl,lingua,True,De salderingsregeling wordt afgebouwd. Hoe beïnvloedt dit mij?,User has heard about changes to the Dutch net-metering scheme and asks for guidance.,"De Nederlandse salderingsregeling stopt naar verwachting per 1 januari 2027, waardoor teruggeleverde zonnestroom niet meer op dezelfde manier wordt weggestreept tegen afgenomen stroom. De monitoringdata kan nog steeds helpen om te zien hoeveel zonnestroom u direct zelf gebruikt en hoeveel u teruglevert. Voor gevolgen voor uw contract, tarieven of exacte rekening kunt u het beste uw energieleverancier of officiële informatie raadplegen.",explains saldering change at a high level; links effect to timing of self-consumption and export; says app can show production/use timing; redirects contract-specific impact to supplier/official information,financial advice; exact future bill prediction; legal advice; unsupported policy details,"Ik kan alleen helpen met vragen over energiemonitoring in huis, energieverbruik, zonne-energie, warmtepompen, ventilatie en afwijkende energiepatronen. Stel gerust een vraag over uw energiegegevens of systeemmetingen.",0.0038530219999302062,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 11:32:19,,out_of_scope,cached_qwen7b_router,out_of_scope,,
NEW_024_EN,NEW_024,in_scope,thesis inspired,closed_book,en,en,en,lingua,True,What does 'building-related energy use' mean in the app?,"EPV overview separates household use, building-related use, heating, hot water, and solar production.","Building-related energy use is energy for systems that help the home itself work, such as heating, ventilation, and sometimes hot water, depending on how your home is measured. It is separate from household use, such as cooking, washing, charging, and standby devices. If this number suddenly rises, ask yourself: was it colder, was more hot water used, or was ventilation running more often?",explains building-related use in plain language; separates from household appliance use; gives simple reflection questions,legal EPV definition beyond context; exact contractual interpretation; installer settings; compensation advice,"Building-related energy use in the app refers to the energy used to maintain the building, like keeping the structure warm or cool when it's not directly for heating the home. It's separate from the energy you use for heating your home, hot water, or your household appliances. If you're curious about what specific activities this covers, you can check the app for more details or contact BeNext support for further explanation.",14.969431554000039,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 11:32:34,,in_scope,prompt_based,in_scope,,
NEW_024_NL,NEW_024,in_scope,thesis inspired,closed_book,nl,nl,nl,lingua,True,Wat betekent 'gebouwgebonden energieverbruik' in de app?,"EPV overview separates household use, building-related use, heating, hot water, and solar production.","Gebouwgebonden energieverbruik is energie voor systemen die de woning zelf laten werken, zoals verwarming, ventilatie en soms warm water, afhankelijk van hoe uw woning wordt gemeten. Het staat los van huishoudelijk gebruik, zoals koken, wassen, opladen en stand-by apparaten. Stijgt dit getal plotseling, vraag dan: was het kouder, is er meer warm water gebruikt of draaide de ventilatie vaker?",explains building-related use in plain language; separates from household appliance use; gives simple reflection questions,legal EPV definition beyond context; exact contractual interpretation; installer settings; compensation advice,"Ik kan alleen helpen met vragen over energiemonitoring in huis, energieverbruik, zonne-energie, warmtepompen, ventilatie en afwijkende energiepatronen. Stel gerust een vraag over uw energiegegevens of systeemmetingen.",0.000806304999969143,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 11:32:34,,out_of_scope,cached_qwen7b_router,out_of_scope,,
NEW_015_EN,NEW_015,in_scope,Tante Tip inspired,closed_book,en,en,en,lingua,True,Should I open the windows a lot if I already have balanced ventilation?,Balanced ventilation/WTW electricity is steady; heating use increases during periods when windows are reported open for long periods in cold weather.,"Balanced ventilation already refreshes the air in the home. In cold weather, leaving windows open for a long time can make the heating work harder. Short airing is different from leaving windows open for hours. Tip: air briefly when needed, but avoid long window opening while the heating is on.",explains balanced ventilation in simple terms; links long window opening to heating use; distinguishes brief airing from long opening; gives practical tip,telling user never to open windows; medical advice; blame; exact cost guarantee,"Your balanced ventilation system is designed to keep the air fresh without needing to open windows. Opening windows a lot, especially in cold weather, can increase your heating use as the system works harder to warm the cold air coming in. It's best to keep windows closed to avoid extra heating costs.",11.439052263000121,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 11:32:45,,in_scope,prompt_based,in_scope,,
NEW_015_NL,NEW_015,in_scope,Tante Tip inspired,closed_book,nl,nl,nl,lingua,True,Moet ik de ramen veel openzetten als ik al balansventilatie heb?,Balanced ventilation/WTW electricity is steady; heating use increases during periods when windows are reported open for long periods in cold weather.,"Balansventilatie ververst de lucht in de woning al. Bij koud weer kunnen ramen die lang openstaan ervoor zorgen dat de verwarming harder moet werken. Kort luchten is iets anders dan ramen urenlang open laten. Tip: lucht kort als dat nodig is, maar laat ramen niet lang openstaan terwijl de verwarming aan staat.",explains balanced ventilation in simple terms; links long window opening to heating use; distinguishes brief airing from long opening; gives practical tip,telling user never to open windows; medical advice; blame; exact cost guarantee,"Met balansventilatie hoef je de ramen niet vaak open te zetten, want deze zorgt ervoor dat er continu lucht circuleert. Als je ramen vaak openzet in koude weersomdelen, kan dit de verwarming meer werk kosten. Het is beter om de ramen alleen te openen als je dat speciaal wilt om frisse lucht binnen te laten.",15.75138563199971,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 11:33:01,,in_scope,prompt_based,in_scope,,
NEW_030_EN,NEW_030,in_scope,Tante Tip inspired,closed_book,en,en,en,lingua,True,Should I turn off my WTW or balanced ventilation to save electricity?,No specific app data; resident asks a general energy-saving question about ventilation.,"No, do not switch balanced ventilation off during normal use. It is meant to refresh the air continuously, and a dry, well-ventilated home is easier to heat. If your system has manual settings, use the normal setting for daily use and a higher setting while cooking or showering. Follow your housing provider's instructions for your specific system.",answers general ventilation question; says not to switch off balanced ventilation; links ventilation to dry/easier-to-heat home; gives simple setting guidance and housing-provider redirect,advising switch-off; medical claims; repair steps; exact technical specification,"Turning off your WTW or balanced ventilation might save some electricity, but it's important to ensure good air quality and safety in your home. Check if your ventilation system has a timer or setting that allows it to run less frequently while still maintaining good air quality. If you're unsure, you might want to contact a professional for advice.",12.369039974000316,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 11:33:14,,in_scope,prompt_based,in_scope,,
NEW_030_NL,NEW_030,in_scope,Tante Tip inspired,closed_book,nl,nl,nl,lingua,True,Moet ik mijn WTW of balansventilatie uitzetten om stroom te besparen?,No specific app data; resident asks a general energy-saving question about ventilation.,"Nee, zet balansventilatie bij normaal gebruik niet uit. Het systeem is bedoeld om continu lucht te verversen, en een droge, goed geventileerde woning warmt makkelijker op. Heeft uw systeem handmatige standen, gebruik dan de normale stand voor dagelijks gebruik en een hogere stand tijdens koken of douchen. Volg voor uw eigen systeem de instructies van uw woningcorporatie.",answers general ventilation question; says not to switch off balanced ventilation; links ventilation to dry/easier-to-heat home; gives simple setting guidance and housing-provider redirect,advising switch-off; medical claims; repair steps; exact technical specification,"Balansventilatie is ontworpen om continu te werken om de lucht in je huis te verfrissen en zuurstof te verwisselen. Als je het uitzet, kan dit leiden tot minder luchtverversing. Het bespaart niet veel stroom, dus het is beter om het aan te laten staan. Controleer wel of je de instellingen goed hebt ingesteld",15.290775582000151,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 11:33:29,,in_scope,prompt_based,in_scope,,
NEW_002_EN,NEW_002,in_scope,real-life use-case inspired,closed_book,en,en,en,lingua,True,"My electricity use is high, but I don't see any big peaks. What does that mean?","Daily graphs show no large short peaks, but the night-time baseline is consistently around [X] W higher than similar previous weeks.","I do not see one big peak; the extra use looks steady over many hours, especially at night. That often means base load: things that stay on, such as a fridge, ventilation, modem, pump, or standby devices. Did anything new stay plugged in around the time this started? Tip: switch off standby devices you do not need, but keep important systems such as ventilation and fridge/freezer on.",explains steady always-on use instead of peaks; gives simple examples; asks resident to connect pattern to changes at home; includes safe standby tip,certainty about exact device; intrusive behaviour assumptions; unsafe unplugging advice; billing guarantee,"Your night-time electricity use is higher than usual, but without big peaks. This could mean that some devices are using more power overnight. Check if any appliances or systems are on that might not have been before, like a charger or a small heater.",10.155861324000398,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 11:33:39,,in_scope,prompt_based,in_scope,,
NEW_002_NL,NEW_002,in_scope,real-life use-case inspired,closed_book,nl,nl,nl,lingua,True,"Mijn stroomverbruik is hoog, maar ik zie geen duidelijke pieken. Wat betekent dat?","Daily graphs show no large short peaks, but the night-time baseline is consistently around [X] W higher than similar previous weeks.","Ik zie geen grote piek; het extra verbruik lijkt juist veel uren door te lopen, vooral 's nachts. Dat noemen we vaak basisverbruik: apparaten die aan blijven, zoals koelkast, ventilatie, modem, pomp of stand-by apparaten. Is er rond het begin van dit patroon iets nieuws aangesloten gebleven? Tip: zet stand-by apparaten uit die u niet nodig heeft, maar laat belangrijke systemen zoals ventilatie en koelkast/vriezer aan.",explains steady always-on use instead of peaks; gives simple examples; asks resident to connect pattern to changes at home; includes safe standby tip,certainty about exact device; intrusive behaviour assumptions; unsafe unplugging advice; billing guarantee,"Je nachtbasisspanning is hoger dan in vorige weken, maar er zijn geen grote pieken te zien. Dit kan betekenen dat er apparaten in huis staan die altijd aan blijven, zoals een router of koelkast. Kijk of je kunt vaststellen welk apparaat mogelijk verantwoordelijk is door bijvoorbeeld de apparaten die altijd aan blijven te controleren.",15.546997760000068,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-7B-Instruct,0,90,2026-06-04 11:33:55,,in_scope,prompt_based,in_scope,,
